ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
12-05-2023,MOTO MECANICA ARGENTIA S.A,Argentina,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,90,0,USD,6,NOS,"SALE OF FASTENERS - SEAT ASSY GV MT5 2-1/16"" 3/5M 4140 PSL3"
12-05-2023,ARABIAN DRILLING,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,100,0,USD,1,NOS,"INDUSTRIAL VALVE - Gate Valve Hydraulic2-1/16"" 10K Gate Valve, Hydraulic operated, 2-1/16"" ? 10K, PS"
12-05-2023,MOTO MECANICA ARGENTIA S.A,Argentina,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,195,0,USD,3,NOS,"SALE OF FASTENERS - GATE GV MT5 2-1/16""3/5M 4140/4130 75K PSL3"
12-05-2023,ARABIAN DRILLING,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,250,0,USD,2,NOS,"INDUSTRIAL VALVE - Gate Valve, Manual, 2-1/16"" 10K Gate Valve, Manual, 2-1/16"" ?10K, PSL 3G, PR2, EE"
12-05-2023,ARABIAN DRILLING,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,100,0,USD,1,NOS,"INDUSTRIAL VALVE - Gate Valve, 2-1/16"" 10K Check Valve, 2-1/16""-10K, PSL 3G, PR2, EE, X, Forged Bodi"
12-05-2023,ARABIAN DRILLING,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,300,0,USD,2,NOS,"INDUSTRIAL VALVE - Gate Valve, Manual 4-1/16"" 10K Gate Valve, Manual,4-1/16"" ? 10K, PSL 3G, PR2, EE"
12-05-2023,ARABIAN DRILLING,Saudi Arabia,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,50,0,USD,1,NOS,"INDUSTRIAL VALVE - Gate Valve Hydraulic4-1/16"" 10K Gate Valve, Hydraulic operated, 4-1/16"" ? 10K, PS"
11-05-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,Oman,0,0,,20,PKG,"INDUSTRIAL VALVE ASSEMBLY MANUAL GATE VALVE , 01 TO 20"
08-05-2023,PRESSURE CONTROL SYSTEMS LTD.,United Kingdom,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,11510,0,USD,1,PCS,INDUSTRIAL VALVE MANUAL GATE VALVE 7-1/16 5MX6-3/8 REDUCED BORE MATERIALS CLASSEE NL-TEMP CLASS PU-P
08-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,1800,USD,4,PCS,"ROUND BAR 2"" OD 725 API PER NACE MR0175 LENGTH 13.23 ITEM CODE: 2OD725API13.23L"
08-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,1940,USD,4,PCS,"ROUND BAR 2"" OD 725 API PER NACE MR0175 LENGTH 13.78"" ITIMCODE: 2OD725API"
08-05-2023,PRESSURE CONTROL SYSTEMS LTD.,United Kingdom,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,25720,0,USD,2,PCS,INDUSTRIAL VALVE MANUAL GATE VALVE 7-1/16 5MX6-3/8 REDUCED BORE MATERIALS CLASSEE-NL- TEMP CLASS PU-
08-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,2740,USD,4,PCS,"ROUND BAR 2"" OD 725 API PER NACE MR0175 LENGTH 16.69 ITEM CODE: 2OD725API19.69L"
08-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,720,USD,4,PCS,"ROUND BAR 1.375"" OD 718 API 6A CRA PER NACE MR0175 LENGTH 11.81 ITEM CODE: 1.375OD718API"
04-05-2023,Alshawamikh Oil Services SAOC.,Oman,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,360,0,USD,6,NOS,"INDUSTRIAL VALVE COMPONENTS-O RING KIT FOR MUD GATE VALVE 2-1/16"" 5K INCLUDES-ORING-(P/N BS10110 SCR"
04-05-2023,Alshawamikh Oil Services SAOC.,Oman,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,690,0,USD,6,NOS,"INDUSTRIAL VALVE COMPONENTS-WEAR RING (QPQ) PN AS1016-09-C3 410SS ASSEMBLY MUD GATE VALVE 2-1/16"" 5K"
