ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
07-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
07-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,6692.42,0,USD,2,NOS,"VALVE: MANUAL GATE VALVE 3-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
07-01-2021,"SEADRILL INTREPID DE MEXICO S, DE R",Mexico,JVS INDUSTRIES PVT LTD,India,4592.93,0,USD,1,Set,VALVE PARTSFULL REPAIR KIT COMPLETE WIT TH SEAL KIT AND MAJOR KIT FOR 3-1/16 X 15000 PSI MANUAL GAT
07-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,9246.76,0,USD,2,NOS,"VALVE: HCR GATE VALVE 3-1/16"""" X 10000 PS I  THROUGH CONDUIT  FULL BORE GATE VALVE   RING GROOVE: BX-"
07-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022
07-01-2021,"SEADRILL INTREPID DE MEXICO S, DE R",Mexico,JVS INDUSTRIES PVT LTD,India,2384.39,0,USD,1,Set,VALVE PARTSFULL REPAIR KIT COMPLETE WIT TH SEAL KIT AND MAJOR KIT FOR 2-1/16 X 15000 PSI MANUAL GAT
07-01-2021,"SEADRILL INTREPID DE MEXICO S, DE R",Mexico,JVS INDUSTRIES PVT LTD,India,3276.45,0,USD,1,Set,VALVE PARTSFULL REPAIR KIT COMPLETE WIT TH SEAL KIT AND MAJOR KIT FOR 3-1/16 X 10000 PSI MANUAL GAT
05-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,13384.8,0,USD,4,NOS,"VALVE: MANUAL GATE VALVE 3-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
05-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
05-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022
05-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,6927.21,0,USD,1,NOS,"VALVE: HCR GATE VALVE 4-1/16"""" X 10000 PS I  THROUGH CONDUIT  FULL BORE GATE VALVE   RING GROOVE: BX-"
05-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,5904.49,0,USD,1,NOS,"VALVE: MANUAL GATE VALVE 4-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
05-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,4623.38,0,USD,1,NOS,"VALVE: HCR GATE VALVE 3-1/16"""" X 10000 PS I  THROUGH CONDUIT  FULL BORE GATE VALVE   RING GROOVE: BX-"
30-12-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022 * MEIS DE SC - OTHER
30-12-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
30-12-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,6692.42,0,USD,2,NOS,"VALVE: MANUAL GATE VALVE 3-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
30-12-2020,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,23617.96,0,USD,4,NOS,"VALVE: MANUAL GATE VALVE 4-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
05-11-2020,"SEADRILL TITANIA DE MEXICO, S. DE R.L. DE C.V.",Mexico,JVS INDUSTRIES PVT. LTD,India,240,0,USD,16,Pieces,PERNO
31-10-2020,SEADRILL TITANIA,Mexico,JVS INDUSTRIES PVT LTD,India,240,0,INR,16,Pieces,VALVE PARTS FULLY THREADED STUD
31-10-2020,SEADRILL TITANIA,Mexico,JVS INDUSTRIES PVT LTD,India,284.16,0,INR,16,Pieces,VALVE PARTS FULLY THREADED STUD
